Period,Gross Sales,Discounts Value,Transactions,Guests,
10:00 (10:00 AM),$42.68,5,6,
10:15 (10:15 AM),$17.85,4,4,
10:30 (10:30 AM),$8.78,1,1,
10:45 (10:45 AM),$11.98,2,2,
11:00 (11:00 AM),$0.99,1,1,
11:15 (11:15 AM),$12.85,3,3,
11:30 (11:30 AM),$54.69,8,8,
11:45 (11:45 AM),$33.44,4,4,
12:00 (12:00 PM),$51.09,7,7,
12:15 (12:15 PM),$6.98,1,1,
12:30 (12:30 PM),$59.18,7,7,
12:45 (12:45 PM),$56.78,7,7,
13:00 (01:00 PM),$12.46,1,1,
13:15 (01:15 PM),$51.09,6,6,
13:30 (01:30 PM),$38.80,6,6,
13:45 (01:45 PM),$21.95,3,3,
14:00 (02:00 PM),$22.93,4,4,
14:15 (02:15 PM),$28.64,2,2,
15:00 (03:00 PM),$17.06,3,3,
15:15 (03:15 PM),$36.72,5,5,
15:30 (03:30 PM),$24.65,2,2,
16:00 (04:00 PM),$5.27,2,2,
16:15 (04:15 PM),$22.05,2,2,
16:30 (04:30 PM),$23.75,3,3,
Total:,$662.66,89,90,

